Order_Month,customerNumber,country,productLine,productName,Purchase_count,Total_Spent
November,128,Germany,"Vintage Cars","1917 Maxwell Touring Car",1,2914
June,323,"New Zealand","Classic Cars","1969 Chevrolet Camaro Z28",1,2912
June,175,USA,Motorcycles,"1997 BMW F650 ST",1,2911
December,496,"New Zealand",Ships,"The Titanic",1,2910
June,450,USA,"Vintage Cars","1934 Ford V8 Coupe",1,2908
December,124,USA,"Vintage Cars","1934 Ford V8 Coupe",1,2908
April,260,Canada,Planes,"ATA: B757-300",1,2907
October,187,UK,"Classic Cars","1969 Ford Falcon",1,2907
October,187,UK,"Classic Cars","1970 Triumph Spitfire",1,2907
July,151,USA,"Classic Cars","1949 Jaguar XK 120",1,2901
February,166,Singapore,"Trucks and Buses","1962 Volkswagen Microbus",1,2898
May,412,"New Zealand",Motorcycles,"2002 Yamaha YZR M1",1,2896
March,242,France,Ships,"The Queen Mary",1,2896
May,382,Austria,"Classic Cars","1971 Alpine Renault 1600s",1,2896
November,242,France,Ships,"1999 Yamaha Speed Boat",1,2892
April,209,France,"Classic Cars","2002 Chevy Corvette",1,2891
May,458,Spain,"Vintage Cars","1913 Ford Model T Speedster",1,2890
July,496,"New Zealand","Classic Cars","1952 Citroen-15CV",1,2889
September,415,Germany,Planes,"American Airlines: MD-11S",1,2888
November,211,"Hong Kong",Planes,"American Airlines: B767-300",1,2888
November,344,Spain,"Vintage Cars","1904 Buick Runabout",1,2888
December,151,USA,"Classic Cars","1999 Indy 500 Monte Carlo SS",1,2887
March,124,USA,"Vintage Cars","1940 Ford Delivery Sedan",1,2886
April,357,"New Zealand","Vintage Cars","18th Century Vintage Horse Carriage",1,2884
November,486,USA,"Classic Cars","1961 Chevrolet Impala",1,2884
October,227,Denmark,"Classic Cars","1999 Indy 500 Monte Carlo SS",1,2884
October,202,Canada,"Classic Cars","1982 Camaro Z28",1,2883
January,161,USA,Motorcycles,"2002 Suzuki XREO",1,2883
March,129,USA,"Vintage Cars","1937 Lincoln Berline",1,2882
July,151,USA,"Classic Cars","1970 Chevy Chevelle SS 454",1,2881
November,114,Australia,"Classic Cars","1971 Alpine Renault 1600s",1,2880
June,323,"New Zealand",Planes,"F/A 18 Hornet 1/72",1,2880
October,448,Sweden,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,2880
October,424,USA,"Vintage Cars","1934 Ford V8 Coupe",1,2878
April,382,Austria,"Vintage Cars","1940 Ford Delivery Sedan",1,2876
November,114,Australia,"Vintage Cars","1928 Mercedes-Benz SSK",1,2870
October,186,Finland,Ships,"HMS Bounty",1,2868
January,121,Norway,"Trucks and Buses","1980â€™s GM Manhattan Express",1,2866
July,314,Belgium,Ships,"1999 Yamaha Speed Boat",1,2866
February,239,USA,Planes,"American Airlines: MD-11S",1,2865
July,386,Italy,"Classic Cars","1956 Porsche 356A Coupe",1,2865
December,141,Spain,"Classic Cars","1972 Alfa Romeo GTA",1,2864
April,148,Singapore,Ships,"The Mayflower",1,2863
December,496,"New Zealand",Ships,"The Queen Mary",1,2863
September,166,Singapore,"Classic Cars","1949 Jaguar XK 120",1,2862
December,323,"New Zealand","Classic Cars","1968 Dodge Charger",1,2861
May,114,Australia,"Vintage Cars","1937 Lincoln Berline",1,2860
November,455,USA,Trains,"Collectable Wooden Train",1,2859
October,448,Sweden,Ships,"The USS Constitution Ship",1,2859
January,347,USA,Planes,"1900s Vintage Bi-Plane",1,2857
November,216,Spain,Planes,"ATA: B757-300",1,2856
January,124,USA,"Classic Cars","1982 Camaro Z28",1,2854
October,473,Italy,Motorcycles,"1997 BMW F650 ST",1,2853
January,121,Norway,"Trucks and Buses","1996 Peterbilt 379 Stake Bed with Outrigger",1,2851
November,146,France,"Trucks and Buses","1980â€™s GM Manhattan Express",1,2851
December,447,USA,Planes,"American Airlines: B767-300",1,2850
March,240,UK,Ships,"The Queen Mary",1,2850
December,141,Spain,"Classic Cars","1998 Chrysler Plymouth Prowler",1,2849
September,276,Australia,"Vintage Cars","1932 Alfa Romeo 8C2300 Spider Sport",1,2848
November,124,USA,"Vintage Cars","1917 Maxwell Touring Car",1,2848
May,458,Spain,"Vintage Cars","1936 Chrysler Airflow",1,2848
February,171,France,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,2847
January,311,Finland,Ships,"The USS Constitution Ship",1,2845
November,276,Australia,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,2845
May,458,Spain,"Vintage Cars","1934 Ford V8 Coupe",1,2845
September,379,USA,"Classic Cars","1956 Porsche 356A Coupe",1,2842
May,458,Spain,"Trucks and Buses","1958 Setra Bus",1,2841
October,448,Sweden,Ships,"The Schooner Bluenose",1,2838
April,172,France,"Trucks and Buses","1980â€™s GM Manhattan Express",1,2836
August,204,USA,Motorcycles,"1982 Ducati 900 Monster",1,2835
October,256,France,"Vintage Cars","1928 Mercedes-Benz SSK",1,2835
November,124,USA,"Vintage Cars","1928 Mercedes-Benz SSK",1,2835
November,324,UK,"Trucks and Buses","1957 Chevy Pickup",1,2835
September,447,USA,Motorcycles,"1957 Vespa GS150",1,2834
June,141,Spain,Planes,"1900s Vintage Tri-Plane",1,2833
November,484,Spain,Trains,"1950's Chicago Surface Lines Streetcar",1,2833
February,278,Italy,Planes,"American Airlines: B767-300",1,2832
December,211,"Hong Kong",Motorcycles,"1997 BMW F650 ST",1,2832
May,450,USA,Planes,"American Airlines: B767-300",1,2832
March,328,USA,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,2832
December,495,USA,"Classic Cars","1970 Dodge Coronet",1,2832
January,406,France,Motorcycles,"2002 Yamaha YZR M1",1,2831
June,324,UK,Ships,"The Queen Mary",1,2830
September,311,Finland,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,2829
November,489,UK,"Classic Cars","1972 Alfa Romeo GTA",1,2829
October,227,Denmark,"Classic Cars","2002 Chevy Corvette",1,2827
October,186,Finland,"Vintage Cars","1940 Ford Delivery Sedan",1,2823
November,484,Spain,"Trucks and Buses","1962 Volkswagen Microbus",1,2822
October,452,Austria,"Trucks and Buses","1996 Peterbilt 379 Stake Bed with Outrigger",1,2819
November,112,USA,"Classic Cars","1952 Citroen-15CV",1,2819
January,146,France,"Vintage Cars","1903 Ford Model A",1,2819
November,385,Philippines,Planes,"Corsair F4U ( Bird Cage)",1,2817
June,141,Spain,Planes,"Corsair F4U ( Bird Cage)",1,2817
October,319,USA,"Vintage Cars","1928 Ford Phaeton Deluxe",1,2816
March,353,France,Planes,"P-51-D Mustang",1,2815
August,157,USA,"Trucks and Buses","1962 Volkswagen Microbus",1,2812
October,119,France,"Vintage Cars","1904 Buick Runabout",1,2812
October,347,USA,"Classic Cars","1992 Ferrari 360 Spider red",1,2811
December,141,Spain,"Classic Cars","1970 Plymouth Hemi Cuda",1,2809
May,350,France,"Classic Cars","1976 Ford Gran Torino",1,2809
December,496,"New Zealand",Planes,"P-51-D Mustang",1,2806
June,362,USA,Motorcycles,"1957 Vespa GS150",1,2805
December,357,"New Zealand",Motorcycles,"1982 Ducati 900 Monster",1,2805
December,323,"New Zealand","Classic Cars","1969 Dodge Charger",1,2805
April,145,Denmark,"Classic Cars","1969 Dodge Super Bee",1,2802
October,187,UK,Ships,"The Mayflower",1,2798
February,278,Italy,Planes,"Corsair F4U ( Bird Cage)",1,2798
December,129,USA,Motorcycles,"1996 Moto Guzzi 1100i",1,2797
March,173,USA,"Vintage Cars","1936 Chrysler Airflow",1,2796
May,458,Spain,"Vintage Cars","18th Century Vintage Horse Carriage",1,2796
February,166,Singapore,"Classic Cars","1982 Camaro Z28",1,2791
August,260,Canada,Ships,"The Schooner Bluenose",1,2790
November,382,Austria,"Classic Cars","1970 Plymouth Hemi Cuda",1,2787
November,167,"Norway  ",Planes,"ATA: B757-300",1,2787
November,386,Italy,"Classic Cars","1998 Chrysler Plymouth Prowler",1,2783
October,124,USA,"Vintage Cars","1917 Maxwell Touring Car",1,2783
August,205,USA,Motorcycles,"2002 Yamaha YZR M1",1,2782
February,141,Spain,"Classic Cars","1949 Jaguar XK 120",1,2781
February,131,USA,Motorcycles,"1960 BSA Gold Star DBD34",1,2779
December,202,Canada,"Vintage Cars","1917 Maxwell Touring Car",1,2778
January,406,France,Motorcycles,"1957 Vespa GS150",1,2774
October,187,UK,Trains,"1950's Chicago Surface Lines Streetcar",1,2773
January,141,Spain,Trains,"1950's Chicago Surface Lines Streetcar",1,2771
July,282,Australia,"Vintage Cars","1937 Lincoln Berline",1,2771
October,339,USA,Ships,"HMS Bounty",1,2770
January,141,Spain,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,2768
December,282,Australia,"Vintage Cars","1928 Ford Phaeton Deluxe",1,2764
July,386,Italy,"Classic Cars","1993 Mazda RX-7",1,2764
February,124,USA,"Trucks and Buses","1996 Peterbilt 379 Stake Bed with Outrigger",1,2761
September,311,Finland,"Trucks and Buses","1957 Chevy Pickup",1,2759
March,448,Sweden,"Classic Cars","1970 Plymouth Hemi Cuda",1,2758
February,278,Italy,Planes,"P-51-D Mustang",1,2757
July,124,USA,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,2756
June,141,Spain,"Vintage Cars","1930 Buick Marquette Phaeton",2,2755
October,202,Canada,"Trucks and Buses","1958 Setra Bus",1,2755
January,363,USA,"Vintage Cars","1911 Ford Town Car",1,2754
November,121,Norway,"Vintage Cars","1903 Ford Model A",1,2754
June,323,"New Zealand","Vintage Cars","1932 Alfa Romeo 8C2300 Spider Sport",1,2754
February,141,Spain,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,2753
June,198,USA,Ships,"1999 Yamaha Speed Boat",1,2753
March,323,"New Zealand","Classic Cars","1998 Chrysler Plymouth Prowler",1,2751
November,181,USA,"Classic Cars","1982 Camaro Z28",1,2751
December,496,"New Zealand",Trains,"Collectable Wooden Train",1,2749
July,119,France,Planes,"American Airlines: B767-300",1,2748
November,320,USA,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,2746
December,211,"Hong Kong",Planes,"1900s Vintage Tri-Plane",1,2741
May,386,Italy,Planes,"American Airlines: MD-11S",1,2738
November,259,Germany,"Classic Cars","1976 Ford Gran Torino",1,2738
August,260,Canada,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,2738
November,462,USA,"Classic Cars","1948 Porsche 356-A Roadster",1,2735
January,406,France,Motorcycles,"1997 BMW R 1100 S",1,2733
June,447,USA,Planes,"Corsair F4U ( Bird Cage)",1,2730
May,282,Australia,"Classic Cars","2002 Chevy Corvette",1,2728
January,177,Japan,Planes,"1900s Vintage Tri-Plane",1,2724
December,447,USA,"Vintage Cars","1928 Ford Phaeton Deluxe",1,2724
March,385,Philippines,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,2721
November,259,Germany,"Classic Cars","1969 Dodge Super Bee",1,2721
October,161,USA,Planes,"America West Airlines B757-200",1,2720
October,227,Denmark,"Classic Cars","1970 Chevy Chevelle SS 454",1,2719
May,175,USA,Trains,"1962 City of Detroit Streetcar",1,2719
December,496,"New Zealand",Planes,"1900s Vintage Bi-Plane",1,2719
April,424,USA,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,2719
November,167,"Norway  ","Classic Cars","1995 Honda Civic",1,2718
January,177,Japan,Planes,"1928 British Royal Navy Airplane",1,2718
May,112,USA,"Vintage Cars","1932 Alfa Romeo 8C2300 Spider Sport",1,2717
January,311,Finland,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,2716
March,128,Germany,Trains,"1950's Chicago Surface Lines Streetcar",1,2715
November,278,Italy,Planes,"American Airlines: MD-11S",1,2714
March,124,USA,"Trucks and Buses","1964 Mercedes Tour Bus",1,2712
July,282,Australia,"Vintage Cars","1936 Chrysler Airflow",1,2711
August,298,Switzerland,"Classic Cars","1948 Porsche 356-A Roadster",1,2710
January,276,Australia,"Trucks and Buses","1940 Ford Pickup Truck",1,2709
August,249,Italy,"Vintage Cars","1932 Alfa Romeo 8C2300 Spider Sport",1,2706
September,131,USA,"Trucks and Buses","1954 Greyhound Scenicruiser",1,2706
March,141,Spain,Ships,"1999 Yamaha Speed Boat",1,2705
November,216,Spain,Ships,"The Titanic",1,2705
March,353,France,Ships,"HMS Bounty",1,2705
January,128,Germany,"Vintage Cars","1932 Model A Ford J-Coupe",1,2702
December,141,Spain,Ships,"The Titanic",1,2702
October,227,Denmark,"Classic Cars","1952 Citroen-15CV",1,2701
November,112,USA,"Classic Cars","2002 Chevy Corvette",1,2701
November,141,Spain,Motorcycles,"2002 Yamaha YZR M1",1,2701
May,458,Spain,"Classic Cars","1962 LanciaA Delta 16V",1,2698
June,141,Spain,Planes,"America West Airlines B757-200",1,2698
November,124,USA,"Classic Cars","1957 Ford Thunderbird",1,2697
May,282,Australia,"Classic Cars","1969 Chevrolet Camaro Z28",1,2697
November,278,Italy,"Vintage Cars","18th Century Vintage Horse Carriage",1,2695
June,357,"New Zealand","Classic Cars","1992 Porsche Cayenne Turbo Silver",1,2693
October,347,USA,"Classic Cars","1948 Porsche 356-A Roadster",1,2692
September,379,USA,"Classic Cars","1969 Dodge Super Bee",1,2692
June,357,"New Zealand",Trains,"Collectable Wooden Train",1,2690
November,344,Spain,Trains,"Collectable Wooden Train",1,2690
April,148,Singapore,"Classic Cars","1970 Triumph Spitfire",1,2686
May,141,Spain,"Classic Cars","1958 Chevy Corvette Limited Edition",2,2684
January,124,USA,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,2683
May,350,France,"Classic Cars","1948 Porsche 356-A Roadster",1,2682
May,450,USA,Planes,"1900s Vintage Tri-Plane",1,2681
July,496,"New Zealand","Classic Cars","1970 Chevy Chevelle SS 454",1,2679
December,475,USA,Planes,"F/A 18 Hornet 1/72",1,2675
November,484,Spain,"Trucks and Buses","1926 Ford Fire Engine",1,2674
November,363,USA,"Classic Cars","1969 Dodge Charger",1,2674
October,187,UK,Ships,"The USS Constitution Ship",1,2673
October,256,France,"Vintage Cars","1936 Chrysler Airflow",1,2667
April,328,USA,Planes,"American Airlines: MD-11S",1,2665
November,363,USA,"Classic Cars","1970 Chevy Chevelle SS 454",1,2665
April,424,USA,"Classic Cars","1970 Dodge Coronet",1,2662
June,357,"New Zealand",Ships,"The Mayflower",1,2658
September,249,Italy,"Vintage Cars","1903 Ford Model A",1,2655
February,239,USA,Planes,"Corsair F4U ( Bird Cage)",1,2653
November,167,"Norway  ","Classic Cars","1976 Ford Gran Torino",1,2652
February,321,USA,"Trucks and Buses","1958 Setra Bus",1,2651
November,424,USA,Ships,"The Mayflower",1,2650
November,131,USA,Motorcycles,"1960 BSA Gold Star DBD34",1,2649
July,386,Italy,"Classic Cars","1971 Alpine Renault 1600s",1,2648
April,357,"New Zealand","Vintage Cars","1934 Ford V8 Coupe",1,2648
June,323,"New Zealand","Classic Cars","1949 Jaguar XK 120",1,2648
April,114,Australia,Motorcycles,"1936 Harley Davidson El Knucklehead",1,2647
October,286,USA,"Trucks and Buses","1980â€™s GM Manhattan Express",1,2643
May,382,Austria,"Classic Cars","1948 Porsche 356-A Roadster",1,2643
May,406,France,"Classic Cars","1961 Chevrolet Impala",1,2642
April,382,Austria,Planes,"1900s Vintage Bi-Plane",1,2640
September,276,Australia,"Classic Cars","1993 Mazda RX-7",1,2637
October,161,USA,Motorcycles,"1996 Moto Guzzi 1100i",1,2633
February,119,France,"Vintage Cars","1928 Ford Phaeton Deluxe",1,2633
January,489,UK,"Classic Cars","1952 Citroen-15CV",1,2632
November,216,Spain,"Vintage Cars","1928 Ford Phaeton Deluxe",1,2629
February,239,USA,"Vintage Cars","1937 Horch 930V Limousine",1,2629
October,161,USA,Planes,"American Airlines: MD-11S",1,2627
October,187,UK,Ships,"The Queen Mary",1,2622
April,148,Singapore,Ships,"Pont Yacht",1,2621
July,250,France,Motorcycles,"2002 Suzuki XREO",1,2621
November,259,Germany,Motorcycles,"1957 Vespa GS150",1,2620
November,181,USA,"Trucks and Buses","1957 Chevy Pickup",1,2619
November,278,Italy,"Vintage Cars","1917 Maxwell Touring Car",1,2618
October,484,Spain,"Vintage Cars","1911 Ford Town Car",1,2618
November,398,Japan,Motorcycles,"1997 BMW R 1100 S",1,2617
June,141,Spain,Ships,"1999 Yamaha Speed Boat",1,2615
April,141,Spain,"Vintage Cars","1913 Ford Model T Speedster",1,2614
November,455,USA,Trains,"1962 City of Detroit Streetcar",1,2614
August,148,Singapore,"Classic Cars","1969 Dodge Charger",1,2612
March,146,France,"Classic Cars","1957 Ford Thunderbird",1,2611
March,250,France,Trains,"1962 City of Detroit Streetcar",1,2610
April,323,"New Zealand","Classic Cars","1971 Alpine Renault 1600s",1,2610
November,344,Spain,"Vintage Cars","1903 Ford Model A",1,2608
November,424,USA,Ships,"The Titanic",1,2608
March,141,Spain,Planes,"American Airlines: MD-11S",1,2606
March,187,UK,"Classic Cars","1957 Ford Thunderbird",1,2604
October,339,USA,"Classic Cars","1972 Alfa Romeo GTA",1,2603
December,141,Spain,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,2602
September,276,Australia,"Classic Cars","2002 Chevy Corvette",1,2602
August,286,USA,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,2600
October,202,Canada,"Trucks and Buses","1980â€™s GM Manhattan Express",1,2600
January,177,Japan,Motorcycles,"1996 Moto Guzzi 1100i",1,2599
August,141,Spain,"Classic Cars","1969 Chevrolet Camaro Z28",1,2599
November,240,UK,"Vintage Cars","1937 Horch 930V Limousine",1,2596
October,227,Denmark,"Vintage Cars","1903 Ford Model A",1,2595
September,141,Spain,Ships,"Pont Yacht",1,2594
March,187,UK,"Classic Cars","1970 Chevy Chevelle SS 454",1,2593
November,363,USA,"Classic Cars","1952 Citroen-15CV",1,2593
August,205,USA,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,2590
September,166,Singapore,"Classic Cars","1969 Chevrolet Camaro Z28",1,2590
November,471,Australia,"Vintage Cars","1937 Lincoln Berline",1,2589
October,128,Germany,"Classic Cars","1948 Porsche 356-A Roadster",1,2589
July,282,Australia,"Vintage Cars","1936 Mercedes-Benz 500K Special Roadster",1,2589
February,298,Switzerland,"Classic Cars","1969 Dodge Super Bee",1,2589
March,173,USA,"Vintage Cars","1934 Ford V8 Coupe",1,2586
November,276,Australia,"Classic Cars","1970 Plymouth Hemi Cuda",1,2586
February,119,France,Planes,"1900s Vintage Tri-Plane",1,2586
September,333,Australia,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,2585
October,186,Finland,Planes,"Corsair F4U ( Bird Cage)",1,2582
November,398,Japan,Planes,"Corsair F4U ( Bird Cage)",1,2579
August,204,USA,"Classic Cars","1970 Plymouth Hemi Cuda",1,2578
June,233,Canada,Ships,"The USS Constitution Ship",1,2576
May,131,USA,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,2576
October,286,USA,"Trucks and Buses","1962 Volkswagen Microbus",1,2576
December,141,Spain,Ships,"The Schooner Bluenose",1,2576
March,385,Philippines,"Classic Cars","1948 Porsche 356-A Roadster",1,2575
April,382,Austria,"Vintage Cars","1941 Chevrolet Special Deluxe Cabriolet",1,2573
November,339,USA,"Trucks and Buses","1996 Peterbilt 379 Stake Bed with Outrigger",1,2566
May,362,USA,Ships,"Pont Yacht",1,2566
July,151,USA,"Classic Cars","1957 Ford Thunderbird",1,2566
April,114,Australia,Planes,"ATA: B757-300",1,2563
April,181,USA,Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,2563
February,131,USA,Motorcycles,"2002 Suzuki XREO",1,2562
January,406,France,"Classic Cars","1969 Dodge Super Bee",1,2561
June,151,USA,Trains,"1962 City of Detroit Streetcar",1,2560
May,328,USA,Motorcycles,"1936 Harley Davidson El Knucklehead",1,2559
May,386,Italy,Planes,"F/A 18 Hornet 1/72",1,2558
October,161,USA,Planes,"American Airlines: B767-300",1,2558
May,141,Spain,"Trucks and Buses","1954 Greyhound Scenicruiser",2,2557
December,151,USA,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,2557
November,259,Germany,"Classic Cars","1971 Alpine Renault 1600s",1,2557
October,148,Singapore,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,2555
April,382,Austria,Ships,"The USS Constitution Ship",1,2554
February,278,Italy,Ships,"HMS Bounty",1,2553
November,114,Australia,"Trucks and Buses","1926 Ford Fire Engine",1,2552
January,311,Finland,Ships,"The Schooner Bluenose",1,2552
November,216,Spain,Planes,"1900s Vintage Tri-Plane",1,2550
January,177,Japan,Planes,"American Airlines: MD-11S",1,2549
December,496,"New Zealand","Vintage Cars","1912 Ford Model T Delivery Wagon",1,2549
November,240,UK,Planes,"American Airlines: B767-300",1,2547
August,260,Canada,"Vintage Cars","1940 Ford Delivery Sedan",1,2546
October,448,Sweden,Ships,"HMS Bounty",1,2546
July,157,USA,Trains,"1950's Chicago Surface Lines Streetcar",1,2545
March,385,Philippines,Motorcycles,"2002 Yamaha YZR M1",1,2545
November,462,USA,"Classic Cars","1969 Dodge Charger",1,2543
November,471,Australia,"Vintage Cars","1911 Ford Town Car",1,2543
November,324,UK,"Trucks and Buses","1954 Greyhound Scenicruiser",1,2543
July,386,Italy,"Classic Cars","1948 Porsche 356-A Roadster",1,2541
November,157,USA,Planes,"P-51-D Mustang",1,2540
March,276,Australia,"Trucks and Buses","1926 Ford Fire Engine",1,2540
April,382,Austria,"Vintage Cars","1912 Ford Model T Delivery Wagon",1,2540
November,471,Australia,"Vintage Cars","1917 Maxwell Touring Car",1,2540
July,119,France,Motorcycles,"1996 Moto Guzzi 1100i",1,2538
October,259,Germany,"Classic Cars","1968 Dodge Charger",1,2537
November,114,Australia,"Classic Cars","1995 Honda Civic",1,2535
October,259,Germany,"Classic Cars","1969 Dodge Charger",1,2534
April,145,Denmark,"Classic Cars","1971 Alpine Renault 1600s",1,2532
September,148,Singapore,"Vintage Cars","18th Century Vintage Horse Carriage",1,2532
May,362,USA,Ships,"The Mayflower",1,2532
January,141,Spain,"Classic Cars","1970 Chevy Chevelle SS 454",1,2531
December,357,"New Zealand",Motorcycles,"1974 Ducati 350 Mk3 Desmo",1,2531
January,124,USA,"Trucks and Buses","1962 Volkswagen Microbus",1,2530
May,131,USA,"Classic Cars","1972 Alfa Romeo GTA",1,2530
November,386,Italy,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,2529
November,172,France,"Trucks and Buses","Diamond T620 Semi-Skirted Tanker",1,2529
January,406,France,"Classic Cars","1971 Alpine Renault 1600s",1,2528
November,276,Australia,Motorcycles,"1982 Ducati 900 Monster",1,2527
May,334,Finland,Trains,"1962 City of Detroit Streetcar",1,2526
February,298,Switzerland,"Classic Cars","1968 Dodge Charger",1,2525
May,131,USA,Ships,"The Titanic",1,2524
February,239,USA,Ships,"The Queen Mary",1,2524
April,260,Canada,Planes,"1900s Vintage Tri-Plane",1,2521
October,161,USA,Motorcycles,"1997 BMW F650 ST",1,2517
February,145,Denmark,Ships,"The Mayflower",1,2512
April,209,France,"Classic Cars","1965 Aston Martin DB5",1,2509
May,450,USA,Planes,"American Airlines: MD-11S",1,2504
February,141,Spain,"Vintage Cars","1932 Alfa Romeo 8C2300 Spider Sport",1,2503
June,362,USA,"Classic Cars","1957 Corvette Convertible",1,2500
December,141,Spain,Trains,"1962 City of Detroit Streetcar",1,2500
February,239,USA,Ships,"The USS Constitution Ship",1,2498
September,141,Spain,Ships,"The Mayflower",1,2497
January,475,USA,"Vintage Cars","1937 Lincoln Berline",1,2497
October,299,"Norway  ","Classic Cars","1999 Indy 500 Monte Carlo SS",1,2497
October,319,USA,Planes,"Corsair F4U ( Bird Cage)",1,2494
September,141,Spain,Ships,"The Schooner Bluenose",1,2494
October,141,Spain,"Classic Cars","1949 Jaguar XK 120",1,2493
November,339,USA,"Trucks and Buses","1940s Ford truck",1,2492
April,141,Spain,"Vintage Cars","18th Century Vintage Horse Carriage",1,2490
January,121,Norway,"Vintage Cars","1913 Ford Model T Speedster",1,2489
December,323,"New Zealand","Classic Cars","1969 Dodge Super Bee",1,2489
December,495,USA,Trains,"1950's Chicago Surface Lines Streetcar",1,2488
March,141,Spain,Ships,"The USS Constitution Ship",1,2487
October,119,France,Ships,"The Schooner Bluenose",1,2487
November,278,Italy,"Vintage Cars","1936 Mercedes-Benz 500K Special Roadster",1,2484
October,259,Germany,Motorcycles,"1957 Vespa GS150",1,2481
October,321,USA,"Classic Cars","1971 Alpine Renault 1600s",1,2480
January,311,Finland,"Vintage Cars","1937 Horch 930V Limousine",1,2480
June,175,USA,Motorcycles,"1960 BSA Gold Star DBD34",1,2480
June,201,UK,"Classic Cars","1965 Aston Martin DB5",1,2479
October,286,USA,"Trucks and Buses","1940s Ford truck",1,2477
November,489,UK,"Vintage Cars","1940 Ford Delivery Sedan",1,2476
November,131,USA,"Classic Cars","1969 Dodge Super Bee",1,2475
November,121,Norway,Trains,"1962 City of Detroit Streetcar",1,2475
November,141,Spain,Motorcycles,"1982 Ducati 900 Monster",1,2473
October,256,France,"Vintage Cars","1932 Model A Ford J-Coupe",1,2472
March,128,Germany,Trains,"1962 City of Detroit Streetcar",1,2469
November,167,"Norway  ",Motorcycles,"1960 BSA Gold Star DBD34",1,2468
March,141,Spain,Ships,"HMS Bounty",1,2468
December,141,Spain,"Classic Cars","1970 Dodge Coronet",1,2467
September,166,Singapore,"Classic Cars","1966 Shelby Cobra 427 S/C",1,2465
August,298,Switzerland,"Classic Cars","1969 Dodge Charger",1,2463
May,282,Australia,"Classic Cars","1957 Ford Thunderbird",1,2463
February,119,France,Planes,"ATA: B757-300",1,2462
January,311,Finland,Ships,"HMS Bounty",1,2462
January,177,Japan,Planes,"ATA: B757-300",1,2462
November,496,"New Zealand",Planes,"ATA: B757-300",1,2462
August,112,USA,"Classic Cars","1965 Aston Martin DB5",1,2461
February,141,Spain,Trains,"1950's Chicago Surface Lines Streetcar",1,2461
April,114,Australia,Motorcycles,"1960 BSA Gold Star DBD34",1,2460
February,141,Spain,"Classic Cars","1992 Porsche Cayenne Turbo Silver",1,2459
May,450,USA,Planes,"Corsair F4U ( Bird Cage)",1,2457
October,319,USA,Planes,"American Airlines: MD-11S",1,2454
July,119,France,Planes,"P-51-D Mustang",1,2454
November,131,USA,"Classic Cars","1970 Plymouth Hemi Cuda",1,2449
November,211,"Hong Kong",Planes,"F/A 18 Hornet 1/72",1,2448
August,286,USA,Motorcycles,"1982 Ducati 900 Monster",1,2448
August,260,Canada,"Vintage Cars","1904 Buick Runabout",1,2447
March,412,"New Zealand","Vintage Cars","1940 Ford Delivery Sedan",1,2444
November,324,UK,"Trucks and Buses","1926 Ford Fire Engine",1,2442
May,112,USA,"Vintage Cars","1911 Ford Town Car",1,2441
April,450,USA,"Vintage Cars","1911 Ford Town Car",1,2441
October,148,Singapore,"Trucks and Buses","1954 Greyhound Scenicruiser",1,2441
February,131,USA,Motorcycles,"1969 Harley Davidson Ultimate Chopper",1,2440
July,282,Australia,"Vintage Cars","1917 Maxwell Touring Car",1,2440
November,471,Australia,"Vintage Cars","1913 Ford Model T Speedster",1,2440
January,177,Japan,Planes,"America West Airlines B757-200",1,2437
September,448,Sweden,"Classic Cars","1982 Camaro Z28",1,2436
November,161,USA,Planes,"1900s Vintage Tri-Plane",1,2434
July,119,France,Planes,"1928 British Royal Navy Airplane",1,2434
December,447,USA,Planes,"1900s Vintage Tri-Plane",1,2434
December,141,Spain,Ships,"The Queen Mary",1,2433
October,148,Singapore,Trains,"1950's Chicago Surface Lines Streetcar",1,2433
March,173,USA,"Vintage Cars","1913 Ford Model T Speedster",1,2431
February,473,Italy,"Trucks and Buses","1964 Mercedes Tour Bus",1,2430
November,124,USA,"Classic Cars","1969 Chevrolet Camaro Z28",1,2429
